well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean
160091536,4648,7,CX,PeF,"perifornical nucleus, left",158444318,96,120,94,-6.20761747006482,-4.04067423914828,-10.9171408349948,15697,4633.0,HYPO,tuberal region
159439025,4295,8,CX,GPe,"globus pallidus, external segment, left",147808390,119,110,107,-27.148737413002,-19.8295435979193,0.883655568125437,15697,12897.0,GP,"globus pallidus, external segment"
160091975,4417,9,CX,DTLv,"lateral group of nuclei, left, ventral division",156903026,112,102,117,-20.2680307232375,-28.2270273491221,7.559609539380308,15697,12925.0,THAL,"lateral group of nuclei, ventral division"
158402884,4719,63,CB,PV-IV,"IV, left, paravermis",156427266,103,121,135,-9.755200755698551,-43.272209900078,-11.1317661148842,15697,,,
158402854,4724,63,CB,PV-Crus II,"Crus II, left, paravermis",156428428,103,143,187,-12.9434941991049,-90.89768632017272,-34.511624466861,15697,,,
158403028,4723,63,CB,PV-Crus I,"Crus I, left, paravermis",156428338,103,125,186,-13.850017527186804,-86.43913902271841,-23.5771922939266,15697,,,
158402982,4728,63,CB,PV-IX,"IX, left, paravermis",156511928,103,171,146,-12.0874192619593,-55.142569546365,-61.4032595607775,15697,,,
158402886,4726,63,CB,PV-VIIIA,"VIIIA, left, paravermis",156512630,103,166,161,-13.710702085192,-68.0574406169063,-53.5523633480479,15697,,,
158402992,4734,62,CB,He-III,"III, left, lateral hemisphere",156515495,119,137,125,-26.696452130929494,-32.967922776655804,-27.127791023078604,15697,,,
158402960,4743,62,CB,He-VIIIB,"VIIIB, left, lateral hemisphere",156515260,119,164,135,-28.1455545504999,-40.5910716416844,-55.7545065915409,15697,,,
158402928,4734,62,CB,He-III,"III, left, lateral hemisphere",156515494,119,137,124,-26.926357376505603,-32.0032454172075,-27.022193935953805,15697,,,
158402898,4741,62,CB,He-VIIB,"VIIB, left, lateral hemisphere",156518351,119,162,169,-28.9912253257384,-78.5099832419016,-50.926542101261,15697,,,
158403026,4736,62,CB,He-V,"V, left, lateral hemisphere",156517737,119,134,145,-26.2055819596562,-51.0267095505529,-23.9634018691603,15697,,,
158402974,4742,61,CB,He-VIIIA,"VIIIA, left, lateral hemisphere",156555701,128,170,151,-37.2233609828082,-60.27622983596,-60.03739060668861,15697,,,
158402912,4741,61,CB,He-VIIB,"VIIB, left, lateral hemisphere",156560937,128,170,153,-37.066059480103895,-62.4342475416462,-59.6088368650426,15697,,,
158402896,4740,61,CB,He-Crus II,"Crus II, left, lateral hemisphere",156560177,128,160,170,-37.8026837865906,-78.5047590918261,-47.641484561245,15697,,,
158158353,4214,13,CX,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",157065000,133,93,167,-36.7497980515603,-75.61348281508799,16.4332331456328,15697,4212.0,CTX,superior occipital gyrus
158158321,4113,13,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",157064998,127,80,168,-29.699029765818,-78.3964336008249,28.6170544707015,15697,4111.0,CTX,angular gyrus
158402910,4207,13,CX,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",157026187,145,95,166,-50.4335458818775,-75.9379223910026,15.817567573159804,15697,4205.0,CTX,inferior occipital gyrus
