Dk_label,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl
unknown,0.0022810096363636363,0.03254827131164351,0.0245542596051507,0.036627730272727275,0.013239236181818182,0.1400307413895624,0.06271147135003691,0.14623597182080775,0.03029889955460654,0.11454306573551047,0.0,0.0,0.053610253139428,0.06971520889314972,0.054774389721854194,0.016714929219850273,0.038769532200744694,0.0,0.022178577803081908,0.04141922563070505,0.028220565963965393,0.0,0.049787347904888014,0.02173931263636364
L_bankssts,0.023901658875000002,0.021467284885795645,0.0078054639375,0.024911198487491,0.0246092940625,0.04181450886404566,0.037344135875,0.0064269866875000005,0.04871063706116452,0.014678786987783207,0.007882866,0.008212147625,0.0070119728125,0.011009179002891445,0.1164942792492207,0.22625971427560948,0.005821041187500001,0.07228361385994041,0.08716474908784362,0.12115379897211774,0.019280546263397837,0.03626196543002868,0.023171184125,0.006322986437500001
L_caudalanteriorcingulate,0.011892330746339363,0.05514949735133651,0.07017199313738347,0.026344893954989894,0.009949282095238095,0.1086870688509837,0.020615442437733614,0.1377617575371532,0.01445698683474235,0.12046298984198507,0.001084218857142857,0.0030581152857142857,0.022379901714285715,0.06519545809329529,0.048938232739958044,0.0,0.022912175571428574,0.0,0.1402183470663402,0.017558616784191895,0.045882580827255694,0.0018031603333333332,0.03454029409886593,0.020936655904761903
L_caudalmiddlefrontal,0.032014080392993687,0.03299641320933246,0.13312745804045664,0.013235465966666667,0.0169423838037447,0.12458075288895569,0.017318634843126266,0.03702238985412388,0.02465402701120622,0.021203601845840407,0.00254920023,0.015644867333333333,0.018108895033333336,0.004214479466666667,0.07424614078435002,0.08239459213884995,0.012538363033333333,0.05348873721628016,0.11440303068635412,0.09915101900791387,0.0147345883,0.041725061285734145,0.007333915733333333,0.006371901966666666
L_corpuscallosum,0.025307366500000004,0.039920461630029595,0.1502519782467904,0.030980381071428566,0.007846033857142857,0.0895174064922166,0.022056617071428575,0.10673514535613363,0.015395048865222194,0.08453244340454384,0.0007706774285714286,0.0034185049285714287,0.029133126,0.03918877056681137,0.04752018261198048,0.02640913198662798,0.011998114214285713,0.09051853972306899,0.021711883415162253,0.027765194653159315,0.04553103961712644,0.04562992644667544,0.026304605054002967,0.011557420642857143
L_cuneus,0.0466537091429319,0.009113922125000002,0.02173786608186654,0.0,0.016948291936717968,0.0353809992931505,0.0172647703125,0.04755233570923877,0.0028646478125,0.0057613369375,0.0031300176562500002,0.0151835285625,0.0091186775,0.0,0.06801563237531714,0.07559282795494643,0.007504186249999999,0.45300968699454736,0.04795627080224355,0.030559400602684514,0.009201038875,0.06022095702394259,0.0157832858125,0.0014466098750000001
L_entorhinal,0.00975000425,0.013037742500000001,0.05069233256734975,0.063093534,0.013572540749999999,0.0199650395,0.0,0.06760643331521063,0.0,0.37695529672271877,0.0062220795,0.0028045755,0.03601593575,0.10021301239069738,0.0,0.01828830375,0.052360931,0.0,0.0286260115,0.026051706,0.04723635375,0.0,0.06168624375000001,0.0058219225
L_fusiform,0.014912979269230768,0.023806312381829866,0.042761830900678206,0.039802187106599114,0.03506357882493774,0.015275594031603976,0.035736661901597806,0.026821444676442326,0.031443138045286256,0.05214672258063096,0.008265110064102563,0.005872780115384614,0.015129720862620885,0.02919855399171739,0.06008683651211175,0.18101069904221564,0.01970441622554722,0.057662056471298156,0.10007503536404665,0.10413855579892492,0.03824332143070069,0.009890754872014065,0.04668681160291441,0.006264897967948717
L_inferiorparietal,0.030269307007742174,0.024362115614083486,0.051265373070659634,0.021090361085368544,0.017990558870370373,0.03854767321244223,0.058778626467613344,0.01421037893898838,0.02310215571825813,0.03979515407957084,0.005261516185185185,0.01067973323888889,0.019372022446380338,0.010392227555555555,0.059820119159689183,0.18866122343891778,0.006820762944444446,0.1168829379124299,0.0671818845421886,0.11804517473731184,0.01558120058628277,0.04649196690210564,0.014374751950916618,0.0010227743888888887
L_inferiortemporal,0.017989552803417703,0.027335301364163022,0.05036598725516884,0.0467661968639791,0.022062491579535368,0.018042585056697057,0.0397225270281301,0.028284759279859007,0.040521047753180495,0.06387538317450937,0.005493365872093023,0.004713425872093023,0.018224394420334543,0.028940537627076154,0.051483569886086905,0.17715079769284928,0.027732045962389516,0.016928201823837738,0.109225516136142,0.10927100261833202,0.03704220895764541,0.00936606718114,0.04309446368056011,0.006368569988372094
L_isthmuscingulate,0.02436372873333333,0.023800537466666664,0.07543071998380892,0.019126012866666667,0.010239774266666668,0.08631492972796036,0.02392956906666667,0.04282947679713136,0.026526777634318353,0.06917485448866363,0.0024490460000000003,0.006861249066666668,0.011780735933333331,0.0140896288,0.041095270940025255,0.07084336712957019,0.015665675466666668,0.24031809161460757,0.04343901927764329,0.08128777659142777,0.010145960466666666,0.043923692424643536,0.012162267266666667,0.0042018385333333335
L_lateraloccipital,0.03717291468358542,0.007557477096307838,0.040056471320331376,0.002311729327868853,0.014475287901639346,0.04304201031160477,0.02674359579022114,0.042752929579087356,0.024403361373410457,0.011218994065573772,0.006172920514754097,0.010901378081967216,0.01035196013114754,0.004394361550442569,0.05620856611187681,0.10678736835774881,0.007608498737704918,0.36633083737091343,0.03698469483426578,0.06367864202395027,0.004749791661149438,0.06262609055326361,0.01298996504918033,0.0004801535901639344
