well_id,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl,P-value,Correlation,RMSE
594,0,0.020850546,0.17204581613715236,0,0,0.21967196596909314,0,0.006118255,0,0.15679652421256632,0.004690588,0.024352421,0,0,0,0.007583083,0,0,0.29594168079916489,0,0.083236876,0,0,0.008712245,9999.00000000000000000,0.12412914968241194,0.99729689050914938
787,0,0,0.011590572,0.052244386,0.072563837,0,0.076732911,0,0.099090292,0,0.002537957,0.002734167,0.003636579,0.002210455,0,0,0.089246015,0,0,0.47284780339776727,0.034790667,0.051403455,0.021255689,0.007115217,9999.00000000000000000,0.013696719,1.02735126720483216
961,0.022754281,0.059858422,0.33452026086155490,0.020386274,0.001047498,0,0,0.010323792,0,0.20021021753171980,0,0.010089656,0,0.031553543,0,0,0.084037005,0,0,0,0,0.040057584,0.17624103639269353,0.00892043,9999.00000000000000000,0.11968345896389179,1.00156027494621025
428,0.036474687,0,0,0,0,0.11257625808937893,0,0.22184550714105947,0,0.067884171,0.002049544,0,0,0,0.12801459123981912,0,0,0.42733737558028062,0.000906959,0,0,0,0,0.002910907,9999.00000000000000000,0.099302205,1.00557319982500837
969,0.05876723,0.002543256,0.16589120068105562,0,0,0,0.006909697,0,0.003359179,0.017541101,0.01849649,0,0.035311565,0,0.026723871,0.42752911930766785,0,0.20254161104653184,0,0,0,0,0.017744963,0.016640717,9999.00000000000000000,0.034818768,1.00994291634950550
973,0.039780254,0.075877634,0.012308223,0.00778314,0,0,0.004884939,0,0.05528478,0.060684652,0,0.035769489,0,0,0,0.45221124103680160,0,0,0,0.056477481,0.14835005647635285,0,0.050588111,0,9999.00000000000000000,0.079471215,1.00659007937790523
981,0.049414794,0,0.02494513,0.038546647,0.065591666,0,0.077412633,0,0.026650545,0.011966963,0.000791258,0.001891817,0.022305513,0.025213429,0,0.29064855003992973,0,0.15858436781735841,0.015215401,0.13568565591177059,0,0,0.047932914,0.007202717,9999.00000000000000000,0.088919993,1.00341649809435718
989,0,0,0.058629769,0.062150843,0.10317926619323678,0,0.11475773774252090,0.14108439942611639,0,0,0.01332003,0,0.028358913,0.001361308,0.009863599,0,0.011621033,0.14281379836754537,0.10417337545182474,0.19746136540778200,0,0,0,0.011224564,9999.00000000000000000,0.075614679,1.00813469077642770
965,0,0,0.23752227291977218,0.10531629156636875,0.059131716,0,0,0,3.8097E-06,0.014675236,0.021857846,0.004257879,0.027658689,0.019846118,0,0.31176281422662366,0.037982985,0,0,0,0.060354973,0,0.089584779,0.01004459,9999.00000000000000000,0.11506479094929556,0.99856004894243588
1052,0.060995589,0,0,0,0.042641891,0,0.001211312,0.008230063,0.15439735196225637,0,0.014963449,0,0.022200622,0,0,0,0.059370375,0.19385506139961819,0.17924335700006058,0.20493048885602111,0,0,0.038806234,0.019154206,9999.00000000000000000,0.12886768133447141,0.99919241867373110
1044,0.013111172,0,0.063949599,0,0,0.07494209,0,0.13985956308879841,0,0.01044215,0,0.00506388,0,0,0.25670107177905777,0,0.056071421,0.35832087615471964,0,0,0,0.007993847,0,0.01354433,9999.00000000000000000,0.19683647101295523,0.98994594703821470
1020,0.044858012,0,0.10652851187033197,0,0,0.15410250762628372,0,0.12974668447457469,0,0.021456333,0.000878882,0,0.001640918,0,0.12619390932311955,0,0.012740928,0.40030915714099080,0,0,0,0.001544157,0,0,9999.00000000000000000,0.14421684005996671,0.99414964707338915
1012,0.06788601,0,0.18070950340679762,0,0.019619144,0.007998168,0,0.19097109465631606,0,0.068062686,0.01017447,0.009049207,0.001908682,0.01031948,0,0.073879947,0.016499771,0.31780628834743818,0.020262775,0,0,0,0.004852776,0,9999.00000000000000000,0.12696918128260190,0.99604935087626190
1051,0.029195536,0.022718034,0.15220150109673156,0.000432246,0.008899564,0,0.068630865,0,0.044493176,0,0.004134889,0.002031729,0,0.008258835,0,0.22785281291706935,0.005449009,0.13875020472319644,0.048072677,0.16581921821888435,0,0.035802354,0.033847676,0.003409674,9999.00000000000000000,0.12310734805102898,0.99755212062382859
964,0.010661806,0.043486791,0.059833721,0,0,0,0,0,0.021914816,0,0,0,0,0.015119207,0.23266936557009291,0.31233133088441289,0,0.035417649,0,0.25127393011463078,0,0,0.014888999,0.002402385,9999.00000000000000000,0.18273457970827431,0.99194374427685450
980,0.017143369,0,0.16138340735971135,0,0.066159314,0,0.055829504,0,0.021419786,0.015965637,0.021226889,0,0.050219203,0.032483884,0,0.17224875822365579,0,0.14766543324215101,0,0.18124106275563578,0,0,0.056239916,0.000773836,9999.00000000000000000,0.073343704,1.00484689650024728
996,0.026611247,0,0.24903910131234003,0,0.004834305,0,0.065822947,0,0.072870329,0.017745504,0,0,0.048914642,0.012838261,0,0.097327952,0.068094302,0.014763625,0,0.21228808357167478,0.00065546,0.012516179,0.086089953,0.009588108,9999.00000000000000000,0.066038921,1.00659637174781658
988,0.093487719,0,0.15365135596137827,0.041010535,0.003423341,0,0.013834171,0,0.013854311,0.015110641,0,0.019353767,0.051802659,0.005577493,0,0.36557464044298982,0.016014172,0.047283577,0,0.000646581,0.094037727,0,0.065337309,0,9999.00000000000000000,0.10533299581430512,0.99807116215637137
1035,0,0,0.11596890091187460,0.033162597,0.01667795,0,0.054182988,0,0.094142854,0,0.005306771,0.022284027,0.007500423,0,0.025267283,0,0.087409213,0.22317695976072066,0,0.084920494,0,0.11615079815530696,0.093376451,0.02047229,9999.00000000000000000,0.09402232,1.00383727122187172
1027,0.075517743,0,0.17276138135811914,0.000761436,0,0.02225988,0.048381659,0,0,0,0,0,0.007293001,0.025383666,0,0.074580963,0,0.26217559927800238,0,0.21935167470940381,0,0.005115145,0.079519418,0.006898433,9999.00000000000000000,-0.000574765,1.01623958644297452
1011,0.005089618,0.063451345,0.15102054834121348,0,0,0,0.0684639,0,0.091967153,0,0.007818961,0.012133926,0,0,0.002257399,0,0.10844231013927874,0.18542845745318415,0,0.18787956430503877,0,0.08031385,0.023249754,0.012483214,9999.00000000000000000,0.074696089,1.00750706700428827
