well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean,R,A,S,vertex,mm_to_surf
4906,4288,11,CX,Pu,"putamen, left",987618,120,84,78,-29.57727422,-4.316356029,5.273598062,10021,4287,STR,putamen,-27.5,12,12,0,
4915,4139,14,CX,STG-i,"superior temporal gyrus, right, inferior bank of gyrus",998459,51,96,94,47.60924995908529,-18.67359891,-5.232580962,10021,4133,CTX,superior temporal gyrus,41.5,-4,0,32134,1.162229
4923,4145,14,CX,MTG-s,"middle temporal gyrus, right, superior bank of gyrus",998458,49,98,94,49.95339122241121,-19.01530488,-7.441670847,10021,4140,CTX,middle temporal gyrus,43.5,-4,-2,32293,0.105609
4931,4154,14,CX,ITG-l,"inferior temporal gyrus, right, lateral bank of gyrus",998457,36,106,94,66.19463575,-16.61720801,-16.36650866,10021,4147,CTX,inferior temporal gyrus,56.5,-4,-10,21636,2.024574
4980,4101,20,CX,SPL-s,"superior parietal lobule, right, superior bank of gyrus",997811,64,37,128,32.24056972,-50.52488971,68.1459239,10021,4096,CTX,superior parietal lobule,28.5,-38,59,14813,0.79051
4988,4116,20,CX,AnG-s,"angular gyrus, right, superior bank of gyrus",997810,58,50,131,37.82064203,-55.41735412,53.74019873741489,10021,4111,CTX,angular gyrus,34.5,-41,46,13842,-1.277109
4939,4135,14,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",998470,155,88,98,-68.74646988,-25.11631213,3.093047408,10021,4133,CTX,superior temporal gyrus,-62.5,-8,8,9708,1.414169
4947,4136,14,CX,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",998471,143,93,100,-57.29096734,-27.63934917,0.982626328,10021,4133,CTX,superior temporal gyrus,-50.5,-10,3,8465,0.762178
4963,4150,14,CX,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",998474,146,114,104,-60.31498074,-30.70240636,-27.01052109,10021,4147,CTX,inferior temporal gyrus,-53.5,-14,-18,22135,-0.248711
4971,4151,14,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",998473,140,108,103,-52.6512599,-29.39668303,-18.55699182,10021,4147,CTX,inferior temporal gyrus,-47.5,-13,-12,21902,-0.428673
4901,4098,20,CX,SPL-s,"superior parietal lobule, left, superior bank of gyrus",997817,103,30,129,-10.66052869,-53.48855052,73.5654935,10021,4096,CTX,superior parietal lobule,-10.5,-39,66,12312,0.665921
4852,4107,18,CX,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",997629,139,66,127,-48.4665321,-57.76747276,33.12480476,10021,4104,CTX,supramarginal gyrus,-46.5,-37,30,16479,-0.276775
4964,4153,14,CX,ITG-its,"inferior temporal gyrus, right, bank of the its",998590,56,113,94,44.29924329,-19.6782751,-26.72478748,10021,4147,CTX,inferior temporal gyrus,36.5,-4,-17,22457,-0.262652
4979,4073,14,CX,PCLa-s,"paracentral lobule, anterior part, left, superior bank of gyrus",998545,96,41,90,-2.952175079,-14.19177633,57.49371969,10021,4071,CTX,"paracentral lobule, anterior part",-3.5,0,55,4664,0.934829
4987,4074,14,CX,PCLa-i,"paracentral lobule, anterior part, left, inferior bank of gyrus",998557,103,58,87,-11.51803869,-12.50991132,39.00570051,10021,4071,CTX,"paracentral lobule, anterior part",-10.5,3,38,1914,0.971405
4900,4076,14,CX,PCLa-s,"paracentral lobule, anterior part, right, superior bank of gyrus",998541,89,32,92,4.184353569,-15.12533704,66.22846851,10021,4071,CTX,"paracentral lobule, anterior part",3.5,-2,64,6180,-1.431956
4908,4077,14,CX,PCLa-i,"paracentral lobule, anterior part, right, inferior bank of gyrus",998542,86,55,85,8.447894888,-11.31865348,43.4042903,10021,4071,CTX,"paracentral lobule, anterior part",6.5,5,41,4750,0.305993
