well_id,vertex,mni_x,mni_y,mni_z,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl,P-value,Correlation,RMSE
836,55169,36.479592689140894,-16.53473424,-38.29927079,0.0,0.005906663,0.0,0.058969862,0.1254300776258201,0.0,0.0,0.087819176,0.041083289,0.0,0.009827853,0.0,0.1266956645059794,0.1269289492874396,0.074718019,0.0,0.042175363,0.0,0.032018967,0.109846700043207,0.086597424,0.0,0.049371445,0.022610547,9999.0,0.1571377140738313,1.0027441219776847
812,58794,32.39816906,-13.87965072,-33.29941558,0.06126119,0.0,0.09437931,0.100644241824939,0.02561823,0.018145465,0.02359686,0.0,0.039643425,0.0,0.005251923,0.008289204,0.055135871,0.054233297,0.0,0.0,0.064864707,0.1048252423066356,0.1076948960161016,0.0,0.2137208888062883,0.0,0.013886995,0.008808253,9999.0,0.1479320975724408,0.9951212597068944
825,29762,-11.16130306,29.89164852,43.54435701,0.0,0.1836389950591274,0.0,0.0,0.016186801,0.014165602,0.0,0.0,0.030623918,0.0,0.009481239,0.0,0.006128481,0.0,0.5355979871697188,0.015617321,0.0,0.0,0.1670323380680632,0.0,0.0,0.015360584,0.0,0.006166733,9999.0,0.3113549799781611,0.997981113731156
1257,44012,54.85409028,27.013348591008302,-4.673131565,0.070821632,0.0,0.1454249612730447,0.059231601,0.0,0.0,0.0536392,0.0,0.1172907047716375,0.0,0.0,0.014767998,0.018145333,0.0,0.0,0.1034891097508502,0.006279853,0.0,0.080630714,0.1112023612338343,0.0,0.1294653971625408,0.067800545,0.02181059,9999.0,0.081368609,1.0091598238409765
1265,8370,-58.20803513,-61.67538069,4.113178949,0.0,0.037987569,0.0,0.0,0.068331452,0.052277903,0.027837874,0.0,0.0,0.0,0.0,0.006621541,0.0,0.0,0.0,0.003115009,0.057940574,0.3224188109360223,0.2520837022902318,0.0,0.0,0.1688236638149337,0.0,0.0025619,9999.0,0.021481469,1.0223614492713853
490,23519,-43.33359682,-61.3546026,-3.724025838,0.0,0.048637426,0.0,0.047954288,0.0,0.0,0.072883105,0.0,0.011139624,0.074672476,0.001354938,0.0,0.0,0.0,0.010750599,0.4528965312938813,0.0,0.0,0.1787374696499123,0.091700556,0.009272985,0.0,0.0,0.0,9999.0,0.1000160848612831,1.0069796828319435
1305,55535,29.9824718,-44.00932692,-17.32099053,0.011448336,0.005961717,0.0,0.042920725,0.075540302,0.0,0.1242848061182815,0.0,0.016720481,0.0,0.015208225,0.0,0.0,0.0,0.070492062,0.3333859891252614,0.0,0.1447278415302599,0.06480744,0.049000443,0.0,0.0,0.045501632,0.0,9999.0,0.1957420187746546,0.9848763553838752
1297,8757,-57.14848714,-37.13910698,5.172349244,0.0,0.064304143,0.0,0.0,0.076302235,0.0,0.070447151,0.041480709,0.026288607,0.0,0.016590895,0.0,0.0,0.0,0.2066851369515983,0.0,0.069711335,0.2480817843011151,0.00985016,0.099695157,0.038466555,0.0,0.0,0.032096132,9999.0,0.1901153682173252,0.9910559498118932
1289,6406,-25.20718691,-5.551278062,64.99158211228128,0.07733114,0.0,0.0,0.0,0.047339909,0.090047736,0.1865687744063563,0.2157495877385126,0.0,0.0337885,0.0,0.0,0.023635034,0.029696055,0.0,0.0,0.1232661334996199,0.0,0.115622462939039,0.0,0.0,0.050590032,0.002031366,0.004333269,9999.0,0.1302112335135779,1.0051303719530384
404,46987,38.01611275,-36.16908157,52.38068945,0.1006660335596108,0.0,0.066436715,0.020452571,0.0,0.0,0.00097944,0.0,0.0,0.062666882,0.000243141,0.004996793,0.011087067,0.0,0.018071037,0.448924550538851,0.0,0.053170497,0.015498984,0.0,0.05663185,0.073344631,0.066829808,0.0,9999.0,0.085634919,1.006427280034505
